obs,time,elapsed,date,hhmmss,averaging,plot,plant,leaf,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1639114569,0,20211210 13:36:08,13:36:08,2,plot-sdfgghhh1-1,1,ertyhghj,1639114567,0.003552374,3.552373527,17.75645762,399.9764,276.8593191,28.45394896,41.10718797,0.255517668,3.268590096,0.244916697,0.153988741,317.3983587,25.86062301,25.94884,3.364057021,60.10658975,1.91164019,3.180416986,1.452416831,-156.6596725,-166.5137637,-10.82759083,-16.6026683,17.66148178,3.550380726,17.75645762,416.5573193,407.5358545,-0.000533576,91.26734029,3.552373527,16.85939235,18.60127091,2.56288E-05,100.31,3,0,1,0,54601.53018,1999.99,1685.991361,0.842999896,0.158699973,3,0.5,0: Broadleaf,2,TRUE,1639114567,399.9764,409.5112,18.60042,16.85934,399.5204,18.38274,600.376,102.574,0.2000336,25.0039,25.94884,999.9,0,0,10000,838.6072,0.873252,1999.99,0.9,0.09999988,27,43393.44,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.455,0.2178,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.6,1.5,19,615,410.007,25.8951,22.1492,30.0001,22.0488,22.0277,20.9154,30.9219,64.2039,25.8939,409.684,16.8775,101.918,101.863
2,1639114631,62,20211210 13:37:10,13:37:10,2,plot-sdfgghhh1-1,1,ertyhghj,1639114629,0.003590352,3.590351696,17.86501091,399.9616,279.2235411,28.6967204,41.10536727,0.262538231,3.267750397,0.251357674,0.158063396,301.5298263,25.76370428,25.83518,3.341489319,60.09953118,1.911005504,3.179734461,1.430483815,-158.3345098,-147.0816106,-9.560827211,-13.44712134,17.8433973,3.594168952,17.86501091,416.6077996,407.5299394,-0.000115485,91.26734029,3.590351696,16.83415575,18.59458303,5.87666E-06,100.31,3,0,1,0,54578.88725,1900,1601.700019,0.84300001,0.158699909,3,0.5,0: Broadleaf,2,TRUE,1639114629,399.9616,409.5948,18.59438,16.83204,399.5058,18.37702,600.4524,102.5732,0.2000844,25.0003,25.83518,999.9,0,0,9995.632,791.4952,0.873252,1900,0.9000014,0.09999866,27,41223.96,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.455,0.2174,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,2.6,2.5,19,615.011,409.791,25.9495,22.1548,30.0002,22.0544,22.0352,20.9155,30.9219,63.4599,25.9487,409.609,16.8795,101.916,101.862
3,1639114697,128,20211210 13:38:16,13:38:16,2,plot-sdfgghhh1-1,1,ertyhghj,1639114695,0.00362843,3.628429622,17.9591354,399.9546,281.4369359,28.92460887,41.10523139,0.269267168,3.267235282,0.257518163,0.161961731,285.6596697,25.66564585,25.7449,3.323658166,60.1614856,1.912450925,3.178862532,1.411207242,-160.0137463,-131.9664768,-8.575547904,-14.89610133,17.93150627,3.634465417,17.9591354,416.6474626,407.5208909,-0.000167085,91.26734029,3.628429622,16.82893813,18.60821515,1.2004E-05,100.31,3,0,1,0,54565.48505,1799.998,1517.39873,0.843000231,0.158699993,3,0.5,0: Broadleaf,2,TRUE,1639114695,399.9546,409.6412,18.60818,16.82586,399.4986,18.39006,600.3694,102.5748,0.1999434,24.9957,25.7449,999.9,0,0,9992.75,744.9724,0.873252,1799.998,0.900001,0.0999993,27,39054.2,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2181,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,3.7,3.6,19,615.085,409.709,25.9918,22.1626,30.0002,22.0637,22.0441,20.923,30.6492,62.7127,25.9934,409.844,16.8652,101.914,101.859
4,1639114757,188.5,20211210 13:39:17,13:39:17,2,plot-sdfgghhh1-1,1,ertyhghj,1639114756,0.003550292,3.55029165,17.68306777,399.983,285.3789432,29.32946481,41.10775375,0.274366987,3.267643482,0.262181,0.164912881,238.0507176,25.40052464,25.436975,3.26346373,60.08879171,1.906771703,3.173256857,1.356692027,-156.5678618,-82.95178638,-5.38061837,-6.849548911,17.67025939,3.570594019,17.68306777,416.531773,407.5444303,1.58571E-05,91.26734029,3.55029165,16.81206039,18.55322545,4.09578E-07,100.31,3,0,1,0,54582.19924,1500.005,1264.504214,0.842999999,0.158699949,3,0.5,0: Broadleaf,2,TRUE,1639114756,399.983,409.5265,18.5531,16.801975,399.527,18.33815,600.3595,102.57375,0.20000225,24.9661,25.436975,999.9,0,0,9995.0125,610.13525,0.873252,1500.005,0.90000075,0.099999275,27,32545.325,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.215,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,4.7,4.7,19,615.287,409.387,26.2006,22.173,30.0001,22.073,22.0536,20.9117,30.6492,61.9668,26.2165,409.54,16.8685,101.914,101.858
5,1639114826,257,20211210 13:40:25,13:40:25,2,plot-sdfgghhh1-1,1,ertyhghj,1639114824,0.003469706,3.469706194,17.26749634,399.98975,289.2822598,29.73020391,41.10786758,0.27759883,3.265072417,0.265121736,0.166775364,190.440045,25.18013199,25.2061,3.21895826,60.06033256,1.907500182,3.175973393,1.311458078,-153.0140432,-39.72039871,-2.575660315,-4.870057197,17.27892584,3.469825524,17.26749634,416.3423924,407.5652909,6.26105E-05,91.26734029,3.469706194,16.85814129,18.55985515,-6.70403E-06,100.31,3,0,1,0,54508.30671,1200,1011.600018,0.843000015,0.158700038,3,0.5,0: Broadleaf,2,TRUE,1639114824,399.98975,409.31775,18.56045,16.858725,399.53375,18.34505,600.348,102.57225,0.2000525,24.98045,25.2061,999.9,0,0,9981.5625,483.623,0.873252,1200,0.8999995,0.1000005,27,26036.15,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2153,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,5.9,5.8,19,615.413,409.253,26.5311,22.1791,30.0002,22.0804,22.061,20.903,30.3641,61.2197,26.5419,409.164,16.8685,101.916,101.855
6,1639114895,326,20211210 13:41:34,13:41:34,2,plot-sdfgghhh1-1,1,ertyhghj,1639114893,0.003429457,3.429457222,16.67557899,399.993,293.2159689,30.13420243,41.1078226,0.278502143,3.268683462,0.26595889,0.167304186,158.6998943,25.04656443,25.08216,3.195285994,59.82304979,1.902951407,3.180966891,1.292334587,-151.2390635,-13.28003436,-0.859767048,-6.678970553,16.72905355,3.398520569,16.67557899,416.0281107,407.5523758,5.05845E-05,91.26734029,3.429457222,16.83521103,18.51715333,-1.618E-06,100.31,3,0,1,0,54603.53192,999.9982,842.9985546,0.843000072,0.15870018,3,0.5,0: Broadleaf,2,TRUE,1639114893,399.993,409.0316,18.51636,16.8496,399.537,18.3035,600.373,102.5714,0.199955,25.0068,25.08216,999.9,0,0,10000.748,403.8514,0.873252,999.9982,0.8999976,0.1000024,26,21696.76,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2129,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,7,6.9,19,615.322,409.092,26.4822,22.1847,30.0004,22.0897,22.0702,20.8957,30.0742,60.4687,26.3215,408.953,16.9237,101.914,101.853
7,1639114975,406,20211210 13:42:54,13:42:54,2,plot-sdfgghhh1-1,1,ertyhghj,1639114973,0.003324105,3.32410463,16.14367618,400.0058,296.2388169,30.44351596,41.10731701,0.277506872,3.268036433,0.265048607,0.166728093,126.9592626,24.86569504,24.90466,3.161648859,60.00412958,1.904568928,3.174063087,1.257079932,-146.5930142,11.57544518,0.74875128,-7.309555139,16.08233645,3.316773327,16.14367618,415.7525755,407.547503,-2.70925E-05,91.26734029,3.32410463,16.9046211,18.53479333,4.95737E-18,100.31,3,0,1,0,54592.16378,799.9958,674.3963936,0.842999918,0.158699911,3,0.5,0: Broadleaf,2,TRUE,1639114973,400.0058,408.7046,18.53292,16.90634,399.55,18.3191,600.3954,102.5668,0.2000024,24.97036,24.90466,999.9,0,0,9997.77,325.27,0.916915,799.9958,0.900001,0.09999894,26,17357.34,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2139,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.4,8.3,19,615.494,408.91,26.7606,22.2013,30.0002,22.1012,22.082,20.8863,29.8039,59.7205,26.7603,408.779,16.9568,101.906,101.851
8,1639115040,471,20211210 13:43:59,13:43:59,2,plot-sdfgghhh1-1,1,ertyhghj,1639115038,0.003231713,3.231713407,14.59070473,400.0236,304.4203929,31.28356015,41.10816044,0.273681172,3.271431292,0.261567955,0.164523616,95.22105072,24.74735337,24.81316,3.144430345,59.94463931,1.9059599,3.17953352,1.238470444,-142.5185613,32.81881866,2.119995877,-12.358696,14.52194355,3.231593105,14.59070473,414.9765871,407.5636485,-0.000553304,91.26734029,3.231713407,16.96159988,18.54646182,-3.2317E-07,100.31,3,0,1,0,54681.03934,600.0056,505.8047856,0.843000108,0.15870027,3,0.5,0: Broadleaf,2,TRUE,1639115038,400.0236,407.9258,18.5469,16.9621,399.5676,18.33226,600.3894,102.5644,0.199938,24.99924,24.81316,999.9,0,0,10016,246.3688,0.916915,600.0056,0.8999964,0.1000036,26,13018.14,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2146,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,9.4,9.4,19,615.485,408.705,26.921,22.2127,30.0001,22.1128,22.0943,20.8576,29.2544,58.9694,26.9194,407.931,16.9976,101.903,101.847
9,1639115116,547,20211210 13:45:15,13:45:15,2,plot-sdfgghhh1-1,1,ertyhghj,1639115114,0.003084656,3.084656067,11.92858053,399.9832,318.8506916,32.7667982,41.10440762,0.267067201,3.268996237,0.255510903,0.16069093,63.47997274,24.58339412,24.66182,3.11613095,60.04429978,1.90580986,3.174006304,1.21032109,-136.0333326,54.32363968,3.508565429,-14.72115471,11.90881081,3.086702999,11.92858053,413.5821655,407.5231152,-0.000759318,91.26734029,3.084656067,17.03115962,18.54396364,-3.74241E-06,100.31,3,0,1,0,54618.81113,400.0006,337.2004069,0.842999753,0.158699694,3,0.5,0: Broadleaf,2,TRUE,1639115114,399.9832,406.5508,18.54526,17.03148,399.5272,18.33074,600.3764,102.5654,0.1999352,24.97006,24.66182,999.9,0,0,10002.99,166.2592,0.916915,400.0006,0.9000036,0.09999624,26,8678.742,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2144,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,10.7,10.6,19,615.46,408.698,26.5948,22.2332,30,22.1306,22.1111,20.803,28.9813,58.2189,26.6478,406.579,17.0355,101.903,101.844
10,1639115182,613,20211210 13:46:21,13:46:21,2,plot-sdfgghhh1-1,1,ertyhghj,1639115180,0.002947752,2.947751911,9.696212514,400.018,330.2452326,33.93822734,41.10854748,0.25620681,3.271712842,0.245559578,0.154394477,47.60993034,24.53675631,24.6097,3.106436585,59.93224316,1.902868087,3.175032314,1.203568498,-129.9958593,64.51795267,4.162540111,-13.70543617,9.715042657,2.942910217,9.696212514,412.5091472,407.5778667,0.000372325,91.26734029,2.947751911,17.07272477,18.5183,2.36349E-06,100.31,3,0,1,0,54693.2747,299.9982,252.898569,0.843000288,0.15870072,3,0.5,0: Broadleaf,2,TRUE,1639115180,400.018,405.4604,18.51638,17.07316,399.562,18.3035,600.4112,102.5668,0.1999442,24.97548,24.6097,999.9,0,0,10017.26,125.6288,0.916915,299.9982,0.8999904,0.1000096,25.9583,6508.984,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.213,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,11.8,11.7,19,615.306,408.573,27.0166,22.2571,30.0002,22.1501,22.132,20.7573,28.7087,57.8481,27.0277,405.404,17.1315,101.899,101.837
11,1639115244,675.0999999,20211210 13:47:23,13:47:23,2,plot-sdfgghhh1-1,1,ertyhghj,1639115242,0.002831646,2.831645998,6.406094118,400.03725,349.8586498,35.95338578,41.11001281,0.246642603,3.268726261,0.236750329,0.148824677,31.74017962,24.50328963,24.5992,3.104486769,59.92305549,1.905323048,3.17961598,1.199163721,-124.8755885,70.57313427,4.557680496,-18.0045941,6.360435331,2.832963725,6.406094118,410.8513958,407.5947455,-2.98661E-06,91.26734029,2.831645998,17.15097154,18.5396,-3.38233E-06,100.31,3,0,1,0,54605.89616,200.00125,168.6010462,0.842999963,0.158699906,3,0.5,0: Broadleaf,2,TRUE,1639115242,400.03725,403.7815,18.5405,17.15125,399.58175,18.326275,600.41875,102.5655,0.199962,24.999675,24.5992,999.9,0,0,10001.55,84.3696,0.873252,200.00125,0.90000125,0.09999875,25,4339.3975,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2141,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,12.9,12.8,19,615.27,408.38,27.1475,22.2825,30.0001,22.1717,22.1529,20.6997,28.4039,57.1023,27.1461,404.056,17.1475,101.894,101.832
12,1639115309,740.0999999,20211210 13:48:28,13:48:28,2,plot-sdfgghhh1-1,1,ertyhghj,1639115307,0.002593134,2.593134176,4.813429435,400.0254,357.7709182,36.7672672,41.1096599,0.226694721,3.266865693,0.218304023,0.13716801,23.80487958,24.4882951,24.55182,3.095701757,60.0043948,1.904670479,3.174218297,1.191031278,-114.3572172,73.85905167,4.770781219,-11.92250472,4.842674752,2.585888638,4.813429435,410.025307,407.5776727,4.12603E-05,91.26734029,2.593134176,17.26413831,18.53578909,5.7651E-06,100.31,3,0,1,0,54559.57582,149.9992,126.4493352,0.843000064,0.158700044,3,0.5,0: Broadleaf,2,TRUE,1639115307,400.0254,402.962,18.53376,17.26562,399.5694,18.31992,600.398,102.5676,0.200024,24.97118,24.55182,999.9,0,0,9991.496,63.4927,0.873252,149.9992,0.8999996,0.10000046,25,3254.5,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.214,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,13.9,13.8,19,615.302,408.449,27.0491,22.3102,30.0002,22.1945,22.1758,20.6649,27.8441,56.7289,27.055,402.917,17.2663,101.889,101.827
13,1639115369,800.5999999,20211210 13:49:29,13:49:29,2,plot-sdfgghhh1-1,1,ertyhghj,1639115368,0.002443845,2.443845096,0.14528541,400.0765,391.4692751,40.23159384,41.11616486,0.213207442,3.266345918,0.205766694,0.129251072,7.934726918,24.45882031,24.529025,3.091482945,59.80254922,1.900542183,3.178028709,1.190940762,-107.7735687,81.40442759,5.258926469,-13.17548774,0.19081389,2.425430509,0.14528541,407.695669,407.6184242,0.000535017,91.26734029,2.443845096,17.29624094,18.4948503,2.92275E-06,100.31,3,0,1,0,54541.55844,49.9993,42.149349,0.842998782,0.15869676,3,0.5,0: Broadleaf,2,TRUE,1639115368,400.0765,400.65675,18.493025,17.303425,399.6205,18.2815,600.34725,102.57075,0.20000725,24.9913,24.529025,999.9,0,0,9988.44,21.021,0.873252,49.9993,0.9000435,0.0999566,25,1084.8475,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.456,0.2117,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,14.9,14.9,19,615.301,408.382,27.2288,22.3353,30.0002,22.2176,22.1991,20.5719,27.5531,56.3561,27.2285,400.465,17.3742,101.886,101.821
14,1639115435,866.0999999,20211210 13:50:34,13:50:34,2,plot-sdfgghhh1-1,1,ertyhghj,1639115433,0.00228576,2.285760362,-1.461055697,400.1385,404.6081181,41.58157711,41.12223445,0.199392036,3.267690161,0.19287105,0.121112525,3.17307383,24.45287695,24.5227,3.090313229,59.91065401,1.901943873,3.174633802,1.188369356,-100.802032,79.39438359,5.126336262,-13.10823828,-1.456688949,2.28363735,-1.461055697,406.9651913,407.7046303,0.000547422,91.26734029,2.285760362,17.38508541,18.50596061,-1.18347E-06,100.31,3,0,1,0,54582.07949,19.99425,16.85514807,0.842999766,0.158699318,3,0.5,0: Broadleaf,2,TRUE,1639115433,400.1385,399.86725,18.5068,17.386975,399.6825,18.2945,600.462,102.57,0.200002,24.973375,24.5227,999.9,0,0,9995.625,8.1571175,0.873252,19.99425,0.90000925,0.0999908,25,433.8125,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.455,0.2123,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,16,15.9,19,615.027,408.391,27.1165,22.3666,30.0003,22.2454,22.2267,20.5368,27.2704,55.9844,27.1223,399.749,17.4373,101.882,101.812
15,1639115519,950.0999999,20211210 13:51:58,13:51:58,2,plot-sdfgghhh1-1,1,ertyhghj,1639115517,0.002085214,2.085214225,-2.726566145,400.0242,417.0284909,42.85858459,41.11103051,0.181035987,3.268542235,0.175644263,0.110248713,0,24.50242212,24.54904,3.095186975,59.93154871,1.904784915,3.178267466,1.190402061,-91.95794734,78.1542776,5.046106634,-8.757563096,-2.713913515,2.081422696,-2.726566145,406.2071077,407.5930606,0.00010765,91.26734029,2.085214225,17.51217298,18.5347497,2.97457E-07,100.31,3,0,1,0,54602.22395,0,0,0,0,3,0.5,0: Broadleaf,2,TRUE,1639115517,400.0242,399.0842,18.5342,17.51348,399.5682,18.3203,600.413,102.5714,0.1999586,24.99256,24.54904,999.9,0,0,10000,-0.4398608,0.873252,0,0,0,24.16668,-1,1639114478,13:34:38,1639114473,1639114478,9,-0.089,-0.002,0.452,0.128,409,17,0.15,0.06,100,100,0.455,0.2139,0.31983062,0.001183069,-2.42743E-06,7.98292E-10,-0.037014701,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,17.4,17.3,19,614.804,408.509,27.2742,22.4023,30.0002,22.2791,22.2597,20.5173,26.6896,55.6142,27.2767,399.174,17.5101,101.878,101.807
